"","ia","type"
"1",45.8000875417384,"DF"
"2",49.7796522060094,"DF"
"3",51.1607280085825,"DF"
"4",59.1065964296127,"DF"
"5",61.7666397200806,"DF"
"6",62.8653344996032,"DF"
"7",65.9583554113245,"DF"
"8",79.1624324490961,"DF"
"9",393.710796703318,"DF"
"10",50.6152354643938,"DF"
"11",63.9304811283035,"DF"
"12",235.874008970682,"DF"
"13",245.403947147554,"DF"
"14",253.282184136342,"DF"
"15",382.385067132264,"DF"
"16",389.913816431787,"DF"
"17",440.824311297701,"DF"
"18",479.777377457845,"DF"
"19",536.631873064022,"DF"
"20",26.7119030854876,"DF"
"21",37.3283361683453,"DF"
"22",44.0725726391172,"DF"
"23",53.4430096657161,"DF"
"24",54.3714435937204,"DF"
"25",9922.50063297161,"DF"
"26",46.7076922630917,"DF"
"27",61.8164094997411,"DF"
"28",401.3350455554,"DF"
"29",661.387646047008,"DF"
"30",1001.72605757921,"DF"
"31",1063.45717506821,"DF"
"32",1086.59341368125,"DF"
"33",1123.38305176046,"DF"
"34",1350.77797562682,"DF"
"35",3955.18390775989,"DF"
"36",33.1344968343736,"DF"
"37",33.9871817726721,"DF"
"38",35.8675923265571,"DF"
"39",38.4787144344619,"DF"
"40",45.2145001994564,"DF"
"41",89.7667385399695,"DF"
"42",159.887974384676,"DF"
"43",177.944506290699,"DF"
"44",332.792685988678,"DF"
"45",52.1870863110836,"DF"
"46",212.199647290401,"DF"
"47",247.887126511836,"DF"
"48",267.020924794604,"DF"
"49",273.85037115282,"DF"
"50",284.616390321086,"DF"
"51",423.929412750281,"DF"
"52",632.569448176778,"DF"
"53",1880.84475652794,"DF"
"54",1916.68641981457,"DF"
"55",21.7455572436576,"DF"
"56",58.4022612590941,"DF"
"57",109.221767855447,"DF"
"58",235.089862274029,"DF"
"59",360.174267916023,"DF"
"60",1199.29623901761,"DF"
"61",1258.67334938928,"DF"
"62",6897.91922550923,"DF"
"63",24.2462342948956,"FF"
"64",29.5743628584466,"FF"
"65",54.8981425188095,"FF"
"66",142.122938726868,"FF"
"67",164.678439842626,"FF"
"68",169.07565457587,"FF"
"69",399.327238412099,"FF"
"70",421.187810093832,"FF"
"71",580.284339446282,"FF"
"72",1314.63214744262,"FF"
"73",2108.6749628552,"FF"
"74",65.1047497262106,"FF"
"75",82.9448724765522,"FF"
"76",88.582716599755,"FF"
"77",98.8691038872567,"FF"
"78",393.811360048665,"FF"
"79",2373.85504033582,"FF"
"80",2541.17446210043,"FF"
"81",2847.32437540385,"FF"
"82",20.9315491223358,"FF"
"83",62.4851376559589,"FF"
"84",86.4569745983786,"FF"
"85",152.161578476834,"FF"
"86",477.796227198352,"FF"
"87",478.949812635788,"FF"
"88",645.446991258378,"FF"
"89",932.634701201173,"FF"
"90",1717.40547881096,"FF"
"91",1741.97926612398,"FF"
"92",47.8910150480769,"FG"
"93",51.9453426806624,"FG"
"94",62.2033601729247,"FG"
"95",63.4792849919844,"FG"
"96",143.22507317969,"FG"
"97",243.509067423103,"FG"
"98",400.199783970961,"FG"
"99",445.029340976164,"FG"
"100",461.107328044244,"FG"
"101",788.332615029748,"FG"
"102",1034.19980135055,"FG"
"103",5791.52575933472,"FG"
"104",6042.71035287664,"FG"
"105",50.7990221437619,"FG"
"106",53.778410522198,"FG"
"107",385.438351899306,"FG"
"108",990.753262401876,"FG"
"109",3150.64449170032,"FG"
"110",3152.78204061798,"FG"
"111",5712.3472538426,"FG"
"112",8220.82689227576,"FG"
"113",32.5476007998852,"FG"
"114",221.288372764964,"FG"
"115",926.509876538747,"FG"
"116",1133.08306479736,"FG"
"117",2783.96519805261,"FG"
"118",5796.33610911634,"FG"
"119",31.5861428364464,"FG"
"120",62.3724325608671,"FG"
"121",104.178756559555,"FG"
"122",132.396661324075,"FG"
"123",268.262604414734,"FG"
"124",457.006384062044,"FG"
"125",1765.86245698852,"FG"
"126",2086.12784069845,"FG"
